assay_run_id,run_date,analyte,matrix,instrument_id,sample_type,level,replicate,nominal_conc_ng_ml,back_calc_conc_ng_ml,peak_area_ratio,dilution_factor,bias_pct,within_acceptance
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,QC,MQC,2,25.0000,25.7818,0.4592,1,3.13,Y
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,QC,MQC,3,25.0000,33.6627,0.4339,1,34.65,N
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,QC,HQC,1,250.0000,257.2170,0.6182,1,2.89,Y
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,QC,HQC,2,250.0000,244.1460,0.6002,1,-2.34,Y
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,QC,HQC,3,250.0000,241.9031,0.5840,1,-3.24,Y
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,BLK,BLK,1,,0.0077,0.0064,1,,
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,BLK,BLK,2,,0.0094,0.0033,1,,
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,DBL,DBL,1,,0.0055,0.0048,1,,
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,CAL,CAL1,1,0.5000,0.5027,0.1087,1,0.54,
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,CAL,CAL2,1,1.0000,1.0209,0.1701,1,2.09,
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,CAL,CAL3,1,2.5000,2.6179,0.2470,1,4.72,
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,CAL,CAL4,1,10.0000,10.1417,0.3531,1,1.42,
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,CAL,CAL5,1,25.0000,25.1228,0.4233,1,0.49,
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,CAL,CAL6,1,100.0000,104.0796,0.5306,1,4.08,
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,CAL,CAL7,1,250.0000,248.3415,0.5940,1,-0.66,
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,CAL,CAL8,1,500.0000,510.5417,0.6320,1,2.11,
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,QC,LLOQ,1,0.5000,0.4749,0.1551,1,-5.01,Y
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,QC,LLOQ,2,0.5000,0.5384,0.1000,1,7.69,Y
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,QC,LLOQ,3,0.5000,0.4989,0.1279,1,-0.22,Y
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,QC,LQC,1,2.5000,2.4154,0.2231,1,-3.38,Y
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,QC,LQC,2,2.5000,2.3292,0.2407,1,-6.83,Y
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,QC,LQC,3,2.5000,2.4346,0.2381,1,-2.61,Y
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,QC,MQC,1,25.0000,25.1244,0.4354,1,0.50,Y
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,QC,MQC,2,25.0000,23.9158,0.3984,1,-4.34,Y
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,QC,MQC,3,25.0000,23.6754,0.3822,1,-5.30,Y
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,QC,HQC,1,250.0000,237.4074,0.6172,10,-5.04,Y
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,QC,HQC,2,250.0000,263.6684,0.6049,1,5.47,Y
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,QC,HQC,3,250.0000,178.5554,0.6192,1,-28.58,N
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,BLK,BLK,1,,0.0185,0.0050,1,,
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,BLK,BLK,2,,0.0172,0.0060,1,,
RUN-20260521-002,2026-05-21,CompoundX,Human plasma,LCMS-02,DBL,DBL,1,,0.0005,0.0050,1,,
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,CAL,CAL1,1,0.5000,0.4927,0.1250,1,-1.47,
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,CAL,CAL2,1,1.0000,0.9289,0.1867,1,-7.11,
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,CAL,CAL3,1,2.5000,2.2743,0.2612,1,-9.03,
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,CAL,CAL4,1,10.0000,9.8357,0.3565,1,-1.64,
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,CAL,CAL5,1,25.0000,25.6964,0.4285,1,2.79,
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,CAL,CAL6,1,100.0000,100.4367,0.5335,1,0.44,
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,CAL,CAL7,1,250.0000,236.9232,0.6052,1,-5.23,
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,CAL,CAL8,1,500.0000,505.6953,0.6562,1,1.14,
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,QC,LLOQ,1,0.5000,0.4753,0.1164,1,-4.93,Y
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,QC,LLOQ,2,0.5000,0.5069,0.1369,1,1.39,Y
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,QC,LLOQ,3,0.5000,0.3412,0.1228,1,-31.77,N
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,QC,LQC,1,2.5000,2.4150,0.2408,1,-3.40,Y
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,QC,LQC,2,2.5000,2.4817,0.2693,1,-0.73,Y
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,QC,LQC,3,2.5000,2.6423,0.2802,1,5.69,Y
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,QC,MQC,1,25.0000,25.7503,0.4034,1,3.00,Y
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,QC,MQC,2,25.0000,24.0390,0.4090,1,-3.84,Y
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,QC,MQC,3,25.0000,24.0621,0.4282,1,-3.75,Y
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,QC,HQC,1,250.0000,263.3507,0.6102,1,5.34,Y
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,QC,HQC,2,250.0000,251.1217,0.6454,1,0.45,Y
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,QC,HQC,3,250.0000,269.9596,0.6274,1,7.98,Y
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,BLK,BLK,1,,0.0117,0.0023,1,,
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,BLK,BLK,2,,0.0025,0.0038,1,,
RUN-20260522-003,2026-05-22,CompoundX,Human plasma,LCMS-03,DBL,DBL,1,,0.0090,0.0042,1,,
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,CAL,CAL1,1,0.5000,0.4980,0.1386,1,-0.40,
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,CAL,CAL2,1,1.0000,1.0025,0.1893,1,0.25,
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,CAL,CAL3,1,2.5000,2.5108,0.2668,1,0.43,
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,CAL,CAL4,1,10.0000,10.3694,0.3513,1,3.69,
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,CAL,CAL5,1,25.0000,25.8947,0.4350,1,3.58,
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,CAL,CAL6,1,100.0000,101.1927,0.5287,1,1.19,
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,CAL,CAL7,1,250.0000,239.5381,0.6277,1,-4.18,
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,CAL,CAL8,1,500.0000,501.6302,0.6450,1,0.33,
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,QC,LLOQ,1,0.5000,0.4847,0.1413,1,-3.06,Y
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,QC,LLOQ,2,0.5000,0.5058,0.1381,1,1.16,Y
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,QC,LLOQ,3,0.5000,0.4940,0.1237,1,-1.21,Y
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,QC,LQC,1,2.5000,2.4125,0.2819,1,-3.50,Y
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,QC,LQC,2,2.5000,2.6875,0.2455,1,7.50,Y
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,QC,LQC,3,2.5000,2.5332,0.2562,1,1.33,Y
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,QC,MQC,1,25.0000,16.9074,0.4135,1,-32.37,N
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,QC,MQC,2,25.0000,23.3953,0.4415,1,-6.42,Y
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,QC,MQC,3,25.0000,26.9900,0.4299,1,7.96,Y
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,QC,HQC,1,250.0000,239.4109,0.6103,1,-4.24,Y
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,QC,HQC,2,250.0000,247.6602,0.5681,1,-0.94,Y
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,QC,HQC,3,250.0000,262.4089,0.6177,1,4.96,Y
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,BLK,BLK,1,,0.0067,0.0084,1,,
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,BLK,BLK,2,,0.0150,0.0071,1,,
RUN-20260523-004,2026-05-23,CompoundX,Human plasma,LCMS-01,DBL,DBL,1,,0.0022,0.0018,1,,
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,CAL,CAL1,1,0.5000,0.4907,0.0671,1,-1.86,
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,CAL,CAL2,1,1.0000,0.9545,0.1165,1,-4.55,
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,CAL,CAL3,1,2.5000,2.4055,0.2002,1,-3.78,
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,CAL,CAL4,1,10.0000,9.7582,0.2925,1,-2.42,
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,CAL,CAL5,1,25.0000,25.9124,0.3708,1,3.65,
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,CAL,CAL6,1,100.0000,100.2557,0.4743,1,0.26,
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,CAL,CAL7,1,250.0000,256.9276,0.5247,1,2.77,
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,CAL,CAL8,1,500.0000,500.0768,0.5972,1,0.02,
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,QC,LLOQ,1,0.5000,0.4957,0.0592,1,-0.85,Y
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,QC,LLOQ,2,0.5000,0.5066,0.0793,1,1.31,Y
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,QC,LLOQ,3,0.5000,0.5277,0.0624,1,5.54,Y
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,QC,LQC,1,2.5000,2.4278,0.2038,1,-2.89,Y
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,QC,LQC,2,2.5000,2.5689,0.1873,1,2.76,Y
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,QC,LQC,3,2.5000,3.3109,0.1823,1,32.43,N
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,QC,MQC,1,25.0000,24.7427,0.3767,1,-1.03,Y
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,QC,MQC,2,25.0000,24.3924,0.3229,1,-2.43,Y
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,QC,MQC,3,25.0000,25.6358,0.3574,1,2.54,Y
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,QC,HQC,1,250.0000,280.8295,0.5058,1,12.33,Y
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,QC,HQC,2,250.0000,227.0068,0.5500,1,-9.20,Y
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,QC,HQC,3,250.0000,242.2401,0.5577,1,-3.10,Y
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,BLK,BLK,1,,0.0176,0.0035,1,,
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,BLK,BLK,2,,0.0190,0.0048,1,,
RUN-20260524-005,2026-05-24,CompoundX,Human plasma,LCMS-02,DBL,DBL,1,,0.0083,0.0029,1,,
